Rank,Institution Name,City location of institution_x,Average Class Size,City location of institution_y,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
131,Northeastern University,Boston,29.8,Boston,www.northeastern.edu,2,MA,1,11,2,1,97,4000,0.026508209,0.500011429,0.709779597,0.46123138,0.81891983,0.087599738,0.500003817,166,0.439175105,0.497508972
20,Yale University,New Haven,28.625,New Haven,www.yale.edu,2,CT,1,12,2,1,99,1395,0.013646347,0.499822665,0.712227141,0.446109933,0.862182469,0.02831435,0.500003626,286,0.86229728,0.498766165
138,Brandeis University,Waltham,31.65,Waltham,www.brandeis.edu/,2,MA,1,13,2,1,92,915,0.019207905,0.490791744,0.721140957,0.439627031,0.861278491,0.089714577,0.50000367,266,0.254239099,0.478607116
101,Case Western Reserve University,Cleveland,33.9,Cleveland,www.case.edu,2,OH,1,11,2,1,94,1137,0.029625867,0.495000519,0.696605805,0.460608756,0.881474057,0.090525075,0.500003943,226,0.342008951,0.497357022
75,Rice University,Houston,29.1,Houston,www.rice.edu,2,TX,1,11,2,1,97,1002,0.010686729,0.498629761,0.75849693,0.44579962,0.849882293,0.090349322,0.500004131,262,0.678000164,0.4990862
3,Harvard University,Cambridge,29.55,Cambridge,www.harvard.edu,2,MA,1,12,2,1,98,1810,0.327328451,0.499931558,0.735027585,0.441984846,0.862950733,0.088527604,0.500003737,282,0.945230832,0.498969044
14,Princeton University,Princeton,30.675,Princeton,www.princeton.edu,2,NJ,1,21,2,1,98,1307,0.011084094,0.499379391,0.742468322,0.435756693,0.862549329,0.088517865,0.500003925,283,0.869002329,0.497496663
79,University of Rochester,Rochester,31.925,Rochester,www.rochester.edu,2,NY,1,12,2,1,96,1661,0.115254992,0.500079126,0.704560152,0.454217062,0.877217516,0.08816088,0.500003692,249,0.510141557,0.499393539
94,Boston College,Chestnut Hill,31.15,Chestnut Hill,www.bc.edu,2,MA,1,13,2,1,95,2321,0.045081375,0.498474735,0.627002518,0.448324668,0.841482511,0.091124234,0.500003673,272,0.510366063,0.488577045
35,Duke University,Durham,26.725,Durham,WWW.DUKE.EDU,2,NC,1,11,2,1,97,1810,0.006307193,0.499868549,0.701569014,0.44013762,0.862511361,0.089220789,0.500003614,276,0.765814527,0.500012396
30,Johns Hopkins University,Baltimore,21.9,Baltimore,www.jhu.edu,2,MD,1,11,2,1,97,1689,0.162949539,0.497414836,0.738926496,0.460981216,0.818356151,0.090533294,0.500003696,273,0.714551465,0.499688039
2,Stanford University,Stanford,31,Stanford,www.stanford.edu/,2,CA,1,21,2,1,98,1746,0.02343645,0.49893295,0.773209933,0.450706754,0.849860175,0.081754246,0.500003748,268,0.898157314,0.497238375
52,Tufts University,Medford,28.175,Medford,www.tufts.edu,2,MA,1,21,2,1,97,1374,0.022061624,0.500087388,0.65490596,0.445182737,0.83189977,0.028340692,0.500003666,272,0.732061479,0.488059932
1,Massachusetts Institute of Technology,Cambridge,33.775,Cambridge,web.mit.edu/student/,2,MA,1,12,2,1,98,1111,0.013604825,0.496894901,0.764275637,0.458917301,0.812316556,0.090722234,0.500003818,271,0.8891067,0.422804135
71,Dartmouth College,Hanover,29.8,Hanover,www.dartmouth.edu,2,NH,1,33,2,1,96,1077,0.015210012,0.499964467,0.725149648,0.435855633,0.837943582,0.02864862,0.500003598,278,0.767797637,0.49988774
24,University of Chicago,Chicago,26.025,Chicago,WWW.UCHICAGO.EDU,2,IL,1,11,2,1,100,1465,0.003055502,0.498927777,0.741365411,0.443427045,0.857050673,0.081172038,0.500003438,275,0.832680931,0.496985885
88,Rensselaer Polytechnic Institute,Troy,34.9,Troy,www.rpi.edu,2,NY,1,13,2,1,94,1267,0.035834071,0.429312352,0.650046894,0.450477692,0.842365176,0.041518498,0.500003663,236,0.617719786,0.425009106
