Institution Name,City location of institution,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
University of North Carolina at Charlotte,Charlotte,www.uncc.edu,1,NC,1,11,2,1,83,4987,0.282186863,0.499011312,0.623196571,0.461310075,0.861147334,0.086631013,0.475417569,137,0.804293014,0.494791191
University of South Florida-Main Campus,Tampa,www.usf.edu,1,FL,1,11,2,1,88,7875,0.31542211,0.495864026,0.68795171,0.45432418,0.837270463,0.089059171,0.479381755,166,0.754103742,0.486822849
University of Southern Mississippi,Hattiesburg,www.usm.edu,1,MS,1,13,2,1,73,2473,0.338770338,0.462689679,0.533370647,0.458881558,0.833026219,0.116222541,0.485321368,115,0.766014307,0.444701622
University of Utah,Salt Lake City,www.utah.edu,1,UT,1,12,2,1,89,5167,0.391516858,0.492061717,0.5216759,0.451253741,0.87513509,0.08590029,0.458379898,158,0.851066936,0.500011262
Virginia Commonwealth University,Richmond,www.vcu.edu/,1,VA,1,12,2,1,86,5154,0.254193228,0.489022843,0.687819676,0.462583214,0.882108327,0.079502568,0.47120891,147,0.668449842,0.477241124
West Virginia University,Morgantown,www.wvu.edu,1,WV,1,13,2,1,79,4550,0.120598057,0.497384646,0.361367751,0.454775727,0.868178268,0.120202865,0.468727885,150,0.752168204,0.499642154
Western Washington University,Bellingham,www.wwu.edu,1,WA,1,13,2,1,82,3335,0.146724755,0.494152834,0.453951037,0.453216165,0.888242969,0.089225009,0.472316966,178,0.627982345,0.484723524
Youngstown State University,Youngstown,www.ysu.edu,1,OH,1,13,2,1,75,1632,0.326863507,0.498902465,0.423782953,0.461264153,0.822724687,0.115045819,0.499996621,82,0.735991234,0.495535026
Appalachian State University,Boone,www.appstate.edu/,1,NC,1,32,2,1,86,3759,0.135751797,0.497001042,0.28295419,0.458888442,0.850615575,0.088307101,0.461635037,181,0.669607914,0.487701146
Auburn University,Auburn,www.auburn.edu,1,AL,1,13,2,1,90,4420,0.081819121,0.499801965,0.357906114,0.447222929,0.798351748,0.091902075,0.47367165,177,0.628294251,0.490765394
California Polytechnic State University-San Luis Obispo,San Luis Obispo,calpoly.edu,1,CA,1,23,2,1,93,4421,0.064140342,0.497686743,0.630757205,0.453523038,0.854316946,0.120540379,0.484472113,171,0.648362575,0.498165767
California State University-Fresno,Fresno,www.csufresno.edu,1,CA,1,11,2,1,83,4146,0.2590166,0.488941798,0.713275793,0.447236552,0.847234693,0.109479152,0.475735496,120,0.691362044,0.494307621
California State University-Sacramento,Sacramento,www.csus.edu,1,CA,1,11,2,1,80,5577,0.35826356,0.492782064,0.784744324,0.451425513,0.850543675,0.110420438,0.483208604,102,0.644452948,0.490011016
